age,height_cm,weight_kgs,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),primary_position,body_type_clean,continent,pace_index,shooting_index,passing_index,dribbling_index,defending_index,physical_index,growth,position_group
29,154.94,77.1,63,63,300000.0,5000.0,Left,1,3,2,CB,Normal,Asia,62.0,39.166666666666664,43.833333333333336,51.833333333333336,60.0,76.0,0,Defender
21,165.1,59.9,61,73,450000.0,5000.0,Right,1,3,2,RM,Lean,Asia,86.5,49.166666666666664,50.0,65.66666666666667,23.6,38.25,12,Midfielder
24,175.26,68.9,62,67,350000.0,3000.0,Right,1,3,2,CDM,Lean,Asia,63.5,50.833333333333336,54.333333333333336,61.5,57.6,63.5,5,Midfielder
32,187.96,96.2,66,66,400000.0,8000.0,Right,1,3,1,GK,Normal,Asia,47.0,16.666666666666668,20.333333333333332,40.166666666666664,20.8,48.0,0,Goalkeeper
33,190.5,86.2,63,63,210000.0,4000.0,Right,1,3,1,GK,Normal,Asia,38.0,14.666666666666666,22.333333333333332,34.333333333333336,16.8,34.0,0,Goalkeeper
22,175.26,71.2,53,62,90000.0,2000.0,Right,1,3,2,ST,Normal,Asia,53.0,51.166666666666664,39.5,54.833333333333336,24.4,49.0,9,Attacker
22,175.26,69.9,52,60,60000.0,2000.0,Right,1,3,2,CB,Normal,Asia,56.5,26.166666666666668,31.0,50.0,49.4,59.0,8,Defender
32,175.26,60.8,64,64,350000.0,5000.0,Right,1,3,3,LM,Lean,Asia,60.5,59.333333333333336,57.833333333333336,64.83333333333333,26.2,61.5,0,Midfielder
22,175.26,68.0,62,74,550000.0,4000.0,Right,1,3,3,RM,Lean,Asia,80.0,54.833333333333336,55.833333333333336,63.0,43.4,54.0,12,Midfielder
26,170.18,68.9,62,65,375000.0,5000.0,Right,1,3,3,CAM,Normal,Asia,63.0,60.333333333333336,59.166666666666664,64.0,29.2,66.0,3,Midfielder
27,172.72,59.9,64,65,525000.0,5000.0,Right,1,3,4,CAM,Normal,Asia,72.0,51.833333333333336,58.833333333333336,64.16666666666667,41.8,54.25,1,Midfielder
25,170.18,64.0,66,70,675000.0,9000.0,Left,1,3,2,LB,Lean,Asia,78.5,57.333333333333336,64.83333333333333,64.16666666666667,58.4,70.25,4,Defender
23,175.26,69.9,61,69,375000.0,5000.0,Right,1,2,2,ST,Normal,Asia,82.5,54.5,43.833333333333336,61.333333333333336,21.0,51.75,8,Attacker
27,185.42,73.0,63,64,290000.0,3000.0,Right,1,2,1,GK,Lean,Asia,38.0,17.0,26.166666666666668,42.0,18.4,48.75,1,Goalkeeper
26,170.18,64.9,64,65,525000.0,5000.0,Right,1,3,2,RM,Lean,Asia,76.5,56.5,55.833333333333336,60.333333333333336,34.8,49.75,1,Midfielder
19,152.4,64.0,57,74,220000.0,1000.0,Left,1,4,2,RM,Lean,Asia,70.0,51.5,49.833333333333336,55.166666666666664,27.2,47.25,17,Midfielder
34,182.88,81.2,65,65,220000.0,7000.0,Left,1,3,1,GK,Normal,Asia,45.0,14.5,19.333333333333332,38.833333333333336,18.4,37.75,0,Goalkeeper
24,167.64,69.9,57,61,110000.0,4000.0,Left,1,2,2,LB,Normal,Asia,70.0,30.166666666666668,42.0,55.833333333333336,56.0,60.75,4,Defender
24,187.96,88.0,60,68,230000.0,2000.0,Right,1,3,1,GK,Normal,Asia,43.0,14.666666666666666,20.333333333333332,34.0,16.4,44.5,8,Goalkeeper
21,175.26,67.1,52,62,80000.0,2000.0,Right,1,3,3,CM,Lean,Asia,64.0,41.833333333333336,50.166666666666664,57.0,35.2,44.25,10,Midfielder
29,182.88,78.0,61,61,180000.0,4000.0,Right,1,2,1,GK,Lean,Asia,48.0,18.166666666666668,21.5,37.666666666666664,16.4,43.25,0,Goalkeeper
26,182.88,73.9,66,68,775000.0,6000.0,Right,1,3,3,CAM,Normal,Asia,66.5,63.166666666666664,58.833333333333336,62.333333333333336,54.2,66.0,2,Midfielder
20,195.58,79.8,59,74,300000.0,2000.0,Right,1,3,2,CB,Lean,Asia,67.0,37.833333333333336,42.5,46.5,58.4,55.0,15,Defender
27,185.42,86.2,62,62,210000.0,4000.0,Right,1,3,1,GK,Normal,Asia,47.0,16.166666666666668,26.0,40.166666666666664,15.0,42.0,0,Goalkeeper
25,175.26,76.2,63,68,400000.0,4000.0,Left,1,3,2,LB,Lean,Asia,77.5,43.833333333333336,57.0,60.666666666666664,55.6,68.5,5,Defender
20,175.26,63.0,56,67,150000.0,2000.0,Left,1,3,3,CAM,Lean,Asia,73.5,42.666666666666664,48.5,62.166666666666664,26.0,40.0,11,Midfielder
25,187.96,59.9,64,70,525000.0,4000.0,Left,1,3,2,CB,Lean,Asia,57.5,37.5,45.0,55.333333333333336,63.4,65.75,6,Defender
27,185.42,83.0,54,56,60000.0,2000.0,Right,1,3,1,GK,Normal,Asia,45.5,16.666666666666668,25.0,35.333333333333336,16.8,41.5,2,Goalkeeper
23,152.4,66.2,60,69,325000.0,4000.0,Left,1,2,3,LM,Lean,Asia,72.0,44.166666666666664,50.333333333333336,64.83333333333333,40.6,49.5,9,Midfielder
24,175.26,64.9,59,63,170000.0,3000.0,Right,1,3,2,CB,Lean,Asia,61.0,30.333333333333332,38.166666666666664,50.5,56.2,64.5,4,Defender
23,182.88,67.1,55,62,90000.0,2000.0,Right,1,2,1,GK,Lean,Asia,31.0,11.166666666666666,16.5,31.166666666666668,12.4,38.75,7,Goalkeeper
25,175.26,67.1,57,63,120000.0,2000.0,Right,1,3,2,CDM,Lean,Asia,59.5,38.166666666666664,47.666666666666664,54.333333333333336,55.0,73.5,6,Midfielder
24,170.18,63.0,65,68,575000.0,6000.0,Right,1,4,3,CDM,Lean,Asia,73.0,50.833333333333336,62.666666666666664,74.0,59.4,68.25,3,Midfielder
23,167.64,57.2,63,68,500000.0,4000.0,Right,1,3,3,CAM,Normal,Asia,65.5,54.333333333333336,55.333333333333336,61.0,46.2,55.0,5,Midfielder
21,175.26,64.9,59,71,280000.0,4000.0,Right,1,4,3,ST,Lean,Asia,85.0,54.5,44.333333333333336,59.5,24.2,50.75,12,Attacker
22,185.42,73.9,54,63,90000.0,3000.0,Left,1,3,2,LB,Lean,Asia,62.0,37.5,44.166666666666664,49.666666666666664,51.2,55.75,9,Defender
28,152.4,71.2,65,65,575000.0,7000.0,Right,1,3,3,RM,Normal,Asia,84.0,59.833333333333336,56.166666666666664,65.5,23.4,62.0,0,Midfielder
31,154.94,68.9,65,65,400000.0,6000.0,Left,1,3,2,LB,Normal,Asia,69.0,43.666666666666664,46.166666666666664,62.0,64.2,73.25,0,Defender
30,152.4,74.8,69,69,750000.0,11000.0,Left,1,3,3,LB,Lean,North America,73.0,55.333333333333336,64.0,67.16666666666667,66.0,74.25,0,Defender
20,182.88,72.1,57,66,140000.0,1000.0,Right,1,3,2,CDM,Lean,Europe,59.0,46.5,49.833333333333336,56.0,50.4,54.75,9,Midfielder
22,187.96,83.0,58,65,180000.0,1000.0,Right,1,3,2,ST,Normal,Europe,56.0,56.333333333333336,37.5,50.333333333333336,34.2,61.0,7,Attacker
24,170.18,68.9,72,78,4300000.0,11000.0,Right,1,3,3,CAM,Normal,South America,81.0,61.333333333333336,70.0,71.5,38.4,63.75,6,Midfielder
19,182.88,74.8,64,84,925000.0,2000.0,Right,1,2,3,CM,Lean,South America,65.5,54.833333333333336,57.833333333333336,63.833333333333336,57.0,54.25,20,Midfielder
26,152.4,74.8,69,71,1100000.0,11000.0,Right,1,3,2,RB,Normal,Europe,81.0,51.5,63.833333333333336,64.66666666666667,60.0,73.75,2,Defender
19,185.42,72.1,56,73,150000.0,1000.0,Right,1,2,1,GK,Normal,North America,29.0,11.166666666666666,19.333333333333332,28.5,11.0,38.0,17,Goalkeeper
27,182.88,73.9,62,65,325000.0,2000.0,Right,1,3,2,CDM,Normal,South America,57.5,34.0,49.666666666666664,60.0,57.2,59.25,3,Midfielder
19,170.18,63.0,58,77,230000.0,2000.0,Right,1,3,2,RWB,Lean,Europe,66.5,34.5,40.333333333333336,59.333333333333336,58.2,54.25,19,Defender
26,187.96,83.0,61,64,325000.0,2000.0,Right,1,3,2,ST,Normal,Europe,69.5,54.166666666666664,45.833333333333336,57.166666666666664,48.8,67.25,3,Attacker
17,170.18,64.9,61,81,500000.0,1000.0,Left,1,3,3,RW,Lean,South America,80.5,51.333333333333336,44.666666666666664,67.16666666666667,36.2,43.0,20,Attacker
22,152.4,71.2,62,72,425000.0,1000.0,Right,1,4,2,LB,Lean,Europe,74.5,49.0,57.0,65.0,55.2,66.5,10,Defender
28,193.04,82.1,63,65,300000.0,1000.0,Right,1,3,1,GK,Normal,Europe,28.5,14.0,19.833333333333332,34.166666666666664,16.2,41.5,2,Goalkeeper
30,152.4,71.2,71,71,2300000.0,14000.0,Right,1,2,3,LM,Normal,South America,78.5,69.5,66.33333333333333,70.66666666666667,43.0,61.5,0,Midfielder
27,152.4,82.1,63,64,425000.0,1000.0,Right,1,4,2,CM,Normal,Africa,72.5,48.166666666666664,59.0,62.166666666666664,58.8,68.0,1,Midfielder
21,175.26,67.1,68,78,1500000.0,1000.0,Right,1,3,3,CAM,Lean,Europe,76.5,61.833333333333336,63.833333333333336,68.83333333333333,56.6,58.75,10,Midfielder
18,170.18,66.2,56,72,170000.0,1000.0,Left,1,3,2,CDM,Lean,South America,56.5,42.666666666666664,49.833333333333336,59.166666666666664,55.6,53.0,16,Midfielder
37,187.96,88.0,63,63,50000.0,1000.0,Right,1,3,2,CB,Stocky,Europe,37.0,28.833333333333332,44.166666666666664,53.833333333333336,60.4,62.5,0,Defender
22,193.04,74.8,60,73,350000.0,1000.0,Right,1,3,2,CB,Lean,South America,64.5,26.833333333333332,29.166666666666668,47.5,59.2,61.25,13,Defender
21,172.72,68.0,66,76,900000.0,1000.0,Left,1,2,2,LB,Normal,South America,91.0,34.166666666666664,51.0,66.16666666666667,56.6,66.75,10,Defender
24,175.26,74.8,68,73,1200000.0,7000.0,Right,1,3,3,CAM,Normal,Asia,78.0,62.0,64.5,70.66666666666667,36.8,67.0,5,Midfielder
23,175.26,63.0,67,73,900000.0,3000.0,Right,1,3,3,CDM,Lean,North America,70.0,54.833333333333336,58.166666666666664,67.83333333333333,63.4,69.0,6,Midfielder
19,154.94,77.1,64,78,850000.0,1000.0,Right,1,3,3,CDM,Normal,Africa,74.0,53.166666666666664,51.5,64.66666666666667,62.8,71.5,14,Midfielder
26,195.58,93.9,81,86,17000000.0,61000.0,Right,2,3,1,GK,Normal,Europe,53.0,19.333333333333332,28.333333333333332,47.666666666666664,15.6,48.25,5,Goalkeeper
22,172.72,68.9,69,80,1800000.0,14000.0,Right,1,3,3,LM,Normal,Europe,86.0,66.0,60.833333333333336,73.66666666666667,35.4,72.0,11,Midfielder
26,175.26,73.9,66,69,675000.0,3000.0,Right,1,3,2,CDM,Normal,South America,70.0,56.166666666666664,50.333333333333336,63.333333333333336,65.4,78.75,3,Midfielder
28,154.94,74.8,67,67,800000.0,2000.0,Right,1,3,2,ST,Normal,Europe,66.5,63.333333333333336,51.333333333333336,63.833333333333336,26.2,62.5,0,Attacker
30,170.18,67.1,63,63,290000.0,1000.0,Right,1,2,2,CDM,Normal,Europe,60.0,45.833333333333336,53.166666666666664,63.5,53.8,56.75,0,Midfielder
19,175.26,69.9,58,71,200000.0,1000.0,Right,1,3,2,RB,Lean,South America,72.0,29.833333333333332,39.166666666666664,54.666666666666664,53.2,66.5,13,Defender
25,167.64,64.0,69,71,1300000.0,15000.0,Left,1,4,3,RM,Lean,Asia,88.0,62.5,62.0,72.5,30.6,58.0,2,Midfielder
27,185.42,68.0,67,69,775000.0,11000.0,Right,1,3,2,CB,Lean,Asia,63.0,30.166666666666668,37.5,51.0,66.8,78.25,2,Defender
33,175.26,62.1,63,63,200000.0,1000.0,Right,1,2,3,RB,Lean,Africa,72.5,62.0,61.166666666666664,71.16666666666667,57.2,58.75,0,Defender
26,175.26,63.0,71,74,2500000.0,20000.0,Right,1,3,2,CDM,Lean,Asia,49.0,51.833333333333336,68.0,66.33333333333333,62.6,66.0,3,Midfielder
22,190.5,77.1,57,70,160000.0,2000.0,Right,1,3,1,GK,Normal,Asia,30.5,8.833333333333334,14.333333333333334,32.333333333333336,9.2,38.5,13,Goalkeeper
29,190.5,81.2,69,69,850000.0,10000.0,Right,1,3,2,CB,Lean,Europe,59.0,42.833333333333336,44.5,49.0,69.2,73.25,0,Defender
29,175.26,72.1,77,77,9000000.0,32000.0,Left,3,3,4,RM,Normal,Africa,74.0,71.66666666666667,70.5,78.83333333333333,58.6,80.0,0,Midfielder
25,182.88,79.8,57,61,140000.0,2000.0,Right,1,3,2,ST,Lean,Europe,87.0,52.166666666666664,40.0,59.166666666666664,28.4,54.0,4,Attacker
25,203.2,93.9,67,70,825000.0,2000.0,Left,1,2,2,CB,Stocky,Africa,49.0,34.333333333333336,36.0,45.0,66.0,62.25,3,Defender
28,198.12,78.9,72,74,3000000.0,13000.0,Right,1,3,2,CB,Lean,Africa,51.0,42.166666666666664,44.833333333333336,46.5,71.4,75.25,2,Defender
20,182.88,73.9,65,78,1000000.0,1000.0,Right,1,3,2,CM,Lean,Europe,66.5,51.0,51.833333333333336,61.666666666666664,59.6,69.75,13,Midfielder
25,172.72,68.0,58,61,160000.0,3000.0,Right,1,2,3,RM,Lean,Asia,70.5,52.5,49.5,61.166666666666664,24.4,43.5,3,Midfielder
24,152.4,69.9,74,78,6000000.0,56000.0,Left,2,2,3,LB,Lean,Africa,78.5,50.0,60.0,74.16666666666667,71.2,70.0,4,Defender
18,175.26,69.9,61,76,525000.0,4000.0,Left,1,3,2,CAM,Lean,Europe,69.0,50.666666666666664,63.5,62.833333333333336,40.0,43.75,15,Midfielder
30,182.88,79.8,70,70,1700000.0,8000.0,Left,1,3,3,LM,Lean,Africa,78.0,61.833333333333336,61.0,68.66666666666667,58.6,77.25,0,Midfielder
23,190.5,88.0,60,68,230000.0,1000.0,Right,1,1,1,GK,Stocky,Europe,29.5,11.0,21.0,26.666666666666668,11.2,36.0,8,Goalkeeper
21,187.96,74.8,66,77,1100000.0,5000.0,Right,1,3,3,ST,Lean,Africa,85.5,58.833333333333336,38.666666666666664,58.833333333333336,30.8,71.0,11,Attacker
21,182.88,76.2,63,75,650000.0,2000.0,Right,1,3,3,RM,Lean,Europe,81.5,52.666666666666664,48.166666666666664,64.83333333333333,48.6,66.25,12,Midfielder
25,154.94,78.0,73,77,5000000.0,1000.0,Left,1,4,3,CAM,Normal,Europe,68.5,71.66666666666667,72.83333333333333,67.16666666666667,46.2,68.0,4,Midfielder
23,193.04,84.8,63,68,500000.0,2000.0,Left,1,3,2,ST,Normal,Africa,78.5,58.0,45.5,56.166666666666664,37.4,74.5,5,Attacker
21,152.4,68.9,62,75,575000.0,7000.0,Right,1,3,3,RW,Normal,Europe,73.5,54.5,60.5,63.5,52.6,50.0,13,Attacker
22,152.4,78.0,62,73,450000.0,3000.0,Right,1,2,2,RB,Normal,Europe,71.0,31.333333333333332,43.0,54.666666666666664,59.4,66.75,11,Defender
18,152.4,68.9,58,76,250000.0,3000.0,Right,1,3,3,RM,Normal,Europe,66.0,47.5,51.666666666666664,60.166666666666664,29.6,50.25,18,Midfielder
19,152.4,72.1,60,80,375000.0,1000.0,Right,1,3,2,CDM,Normal,South America,65.0,41.5,47.333333333333336,56.833333333333336,59.0,62.75,20,Midfielder
